student_id,student_name,gender,date_of_birth,academic_year,disability_flag,annual_family_income,parental_education,first_generation_student,urban_rural,admission_type,institution_code
S260-24,Karan Banerjee,female,14-05-2001,2023-2024,1,2479301,primary,0,urban,Merit,INST01
S261-24,Karan Mukherjee,male,21-11-2003,2023-2024,1,1314026,Secondary,1,Urban,MERIT,INST02
S262-24,Karan Chatterjee,male,12-08-2002,2023-2024,0,4606624,None,1,RURAL,MERIT,INST01
S263-24,Karan Saxena,female,12-08-2002,2023-2024,0,4016348,NONE,1,urban,RESERVATION,INST01
S264-24,Karan Tripathi,male,14-05-2001,2023-2024,0,3692011,none,1,urban,Merit,INST02
S265-24,Karan Tiwari,Male,14-05-2001,2023-2024,1,551430,primary,1,rural,management,INST01
S266-25,Karan Mishra,FEMALE,21-11-2003,2024-2025,1,3720016,secondary,0,urban,management,INST02
S267-24,Karan Pandey,female,21-11-2003,2023-2024,0,207033,GRADUATE,1,urban,reservation,INST01
S268-24,Karan Yadav,MALE,14-05-2001,2023-2024,0,1138625,NONE,1,Rural,MANAGEMENT,INST01
S269-24,Karan Jain,Male,21-11-2003,2023-2024,0,159774,graduate,1,rural,RESERVATION,INST01
S270-24,Karan Kohli,male,14-05-2001,2023-2024,0,2599336,GRADUATE,0,urban,RESERVATION,INST02
S271-25,Nisha Sharma,,21-11-2003,2024-2025,1,3632564,primary,1,Rural,Management,INST02
S272-24,Nisha Verma,,12-08-2002,2023-2024,1,4774000,graduate,0,rural,MANAGEMENT,INST01
S273-24,Nisha Patel,,12-08-2002,2023-2024,0,2691611,NONE,1,URBAN,management,INST02
S274-25,Nisha Iyer,Male,14-05-2001,2024-2025,1,820956,Primary,0,RURAL,Reservation,INST02
S275-25,Nisha Reddy,male,12-08-2002,2024-2025,0,3693209,GRADUATE,0,rural,reservation,INST02
S276-25,Nisha Singh,Male,14-05-2001,2024-2025,0,4875587,SECONDARY,0,RURAL,Management,INST01
S277-24,Nisha Gupta,female,12-08-2002,2023-2024,0,4084270,PRIMARY,1,rural,merit,INST02
S278-24,Nisha Mehta,male,14-05-2001,2023-2024,1,2740548,Primary,0,urban,reservation,INST01
S279-24,Nisha Nair,FEMALE,14-05-2001,2023-2024,0,1288805,secondary,0,URBAN,reservation,INST01
S280-24,Nisha Khan,MALE,14-05-2001,2023-2024,1,3209205,Primary,0,rural,Management,INST02
S281-24,Nisha Malhotra,FEMALE,21-11-2003,2023-2024,0,210040,secondary,0,URBAN,Management,INST01
S282-24,Jane Doe,female,14-05-2001,2023-2024,1,4491057,secondary,1,Urban,Merit,INST01
S283-24,Nisha Chopra,MALE,21-11-2003,2023-2024,0,2917110,GRADUATE,0,Rural,management,INST01
S284-24,Nisha Agarwal,Male,12-08-2002,2023-2024,0,1208547,primary,0,Urban,RESERVATION,INST02
S285-25,Jane Doe,FEMALE,14-05-2001,2024-2025,0,3499829,PRIMARY,1,urban,Merit,INST02
S286-24,Nisha Joshi,female,21-11-2003,2023-2024,1,4263804,graduate,0,Urban,management,INST01
S287-24,Nisha Das,female,21-11-2003,2023-2024,1,604791,Primary,1,Rural,reservation,INST01
S288-24,Nisha Roy,male,21-11-2003,2023-2024,1,3838375,none,0,URBAN,Management,INST02
S289-25,Nisha Ghosh,Male,14-05-2001,2024-2025,1,1446590,none,0,rural,Merit,INST01
S290-25,Nisha Banerjee,male,21-11-2003,2024-2025,1,806481,SECONDARY,1,urban,merit,INST01
S291-24,Nisha Mukherjee,male,14-05-2001,2023-2024,1,1263054,secondary,0,URBAN,MANAGEMENT,INST02
S292-25,Nisha Chatterjee,FEMALE,12-08-2002,2024-2025,1,4609218,graduate,0,urban,Reservation,INST01
S293-24,Nisha Saxena,FEMALE,21-11-2003,2023-2024,0,1293662,secondary,0,rural,,INST01
S294-25,Nisha Tripathi,MALE,12-08-2002,2024-2025,1,4906721,Secondary,1,URBAN,,INST02
S295-25,Nisha Tiwari,Male,21-11-2003,2024-2025,0,4471238,Graduate,1,rural,,INST01
S296-25,Nisha Mishra,female,21-11-2003,2024-2025,0,4409608,secondary,0,rural,,INST02
S297-24,Nisha Pandey,MALE,12-08-2002,2023-2024,1,2850052,secondary,1,URBAN,,INST01
S298-24,Nisha Yadav,female,21-11-2003,2023-2024,0,1677520,Primary,1,rural,,INST02
S299-25,Nisha Jain,male,12-08-2002,2024-2025,1,4707163,none,0,Rural,,INST01
S300-25,Nisha Kohli,female,14-05-2001,2024-2025,1,2688212,graduate,1,URBAN,,INST02
S301-24,Aditya Sharma,MALE,21-11-2003,2023-2024,1,4098872,secondary,0,URBAN,,INST01
S302-24,Aditya Verma,Male,12-08-2002,2023-2024,1,2658700,none,0,RURAL,,INST02
S303-25,Aditya Patel,MALE,12-08-2002,2024-2025,0,1036926,primary,1,Urban,,INST01
S304-25,Aditya Iyer,MALE,12-08-2002,2024-2025,0,2891547,none,1,Urban,,INST02
S305-25,Aditya Reddy,Male,14-05-2001,2024-2025,0,2837803,None,1,Urban,,INST01
S306-24,Aditya Singh,FEMALE,14-05-2001,2023-2024,1,2214703,secondary,1,urban,,INST02
S307-24,Aditya Gupta,Male,14-05-2001,2023-2024,1,4310990,graduate,0,urban,,INST02
S308-25,Aditya Mehta,MALE,21-11-2003,2024-2025,0,4808112,GRADUATE,1,Rural,,INST01
S309-25,Aditya Nair,MALE,12-08-2002,2024-2025,0,2796499,None,1,rural,,INST02
S310-25,Aditya Khan,Female,14-05-2001,2024-2025,1,4833825,None,1,urban,,INST02
S311-24,Aditya Malhotra,male,12-08-2002,2023-2024,1,2417342,graduate,0,urban,,INST02
S312-24,Aditya Bansal,MALE,14-05-2001,2023-2024,0,2469869,primary,1,URBAN,,INST02
S313-24,Aditya Chopra,female,21-11-2003,2023-2024,0,3861736,graduate,1,rural,,INST02
S314-24,Aditya Agarwal,MALE,21-11-2003,2023-2024,1,4917647,graduate,0,Urban,,INST02
S315-24,Aditya Kulkarni,male,12-08-2002,2023-2024,1,2931874,Graduate,1,RURAL,,INST02
S316-24,Aditya Joshi,male,14-05-2001,2023-2024,0,4019158,secondary,0,RURAL,,INST02
S317-24,Aditya Das,male,21-11-2003,2023-2024,1,985744,Primary,0,Rural,,INST02
S318-25,Aditya Roy,female,12-08-2002,2024-2025,1,3264237,None,0,URBAN,,INST01
S319-25,Aditya Ghosh,male,12-08-2002,2024-2025,1,3322148,Graduate,0,Urban,,INST02
S320-25,Aditya Banerjee,MALE,21-11-2003,2024-2025,1,2317659,Graduate,0,Rural,,INST01
S321-24,Aditya Mukherjee,male,21-11-2003,2023-2024,1,3499804,SECONDARY,0,URBAN,,INST01
S322-24,Aditya Chatterjee,Male,21-11-2003,2023-2024,0,774661,none,1,Urban,,INST02
S323-25,Aditya Saxena,female,21-11-2003,2024-2025,0,1408669,secondary,1,Urban,,INST01
S324-24,Aditya Tripathi,male,12-08-2002,2023-2024,1,4585151,NONE,0,rural,,INST01
S325-24,Aditya Tiwari,female,21-11-2003,2023-2024,1,3325615,Graduate,0,URBAN,reservation,INST02
S326-25,Aditya Mishra,Male,21-11-2003,2024-2025,0,2590306,graduate,0,Urban,RESERVATION,INST02
S327-24,Aditya Pandey,female,14-05-2001,2023-2024,0,3063700,primary,1,Rural,management,INST02
S328-24,Aditya Yadav,male,12-08-2002,2023-2024,1,2882988,primary,0,urban,Merit,INST01
S329-24,Aditya Jain,Male,14-05-2001,2023-2024,1,1145029,primary,0,Urban,MERIT,INST01
S330-25,Aditya Kohli,Female,14-05-2001,2024-2025,0,2879839,Secondary,0,urban,merit,INST02
S331-24,Pooja Sharma,MALE,14-05-2001,2023-2024,1,3729756,PRIMARY,1,URBAN,Merit,INST02
S332-25,Pooja Verma,MALE,14-05-2001,2024-2025,1,4043082,GRADUATE,0,Urban,Reservation,INST02
S333-25,Pooja Patel,MALE,14-05-2001,2024-2025,0,3563030,Secondary,0,Rural,MANAGEMENT,INST01
S334-24,Pooja Iyer,male,12-08-2002,2023-2024,1,4029663,SECONDARY,1,Rural,MANAGEMENT,INST01
S335-24,Pooja Reddy,female,14-05-2001,2023-2024,1,1375782,Secondary,1,urban,MERIT,INST02
S336-24,Pooja Singh,male,14-05-2001,2023-2024,1,3200193,PRIMARY,1,urban,RESERVATION,INST02
S337-25,Pooja Gupta,male,12-08-2002,2024-2025,0,1746267,graduate,1,Urban,Reservation,INST01
S338-24,Pooja Mehta,female,21-11-2003,2023-2024,1,3503557,SECONDARY,1,URBAN,Management,INST01
S339-24,Pooja Nair,Male,21-11-2003,2023-2024,0,3554524,graduate,0,rural,merit,INST01
S340-24,Pooja Khan,MALE,21-11-2003,2023-2024,1,3056524,Primary,0,rural,Reservation,INST02
S341-25,Pooja Malhotra,Male,12-08-2002,2024-2025,0,61439,secondary,0,urban,Merit,INST02
S342-24,Pooja Bansal,female,12-08-2002,2023-2024,0,980854,PRIMARY,1,Urban,reservation,INST01
S343-24,Pooja Chopra,female,12-08-2002,2023-2024,0,2738245,secondary,0,Rural,reservation,INST02
S344-24,Pooja Agarwal,FEMALE,12-08-2002,2023-2024,0,1630024,secondary,0,RURAL,Merit,INST01
S345-25,Jane Doe,male,14-05-2001,2024-2025,0,3544162,SECONDARY,0,urban,management,INST02
S346-25,Pooja Joshi,female,21-11-2003,2024-2025,1,4497356,primary,1,rural,MANAGEMENT,INST01
S347-24,Pooja Das,Male,14-05-2001,2023-2024,0,4540561,PRIMARY,0,rural,MANAGEMENT,INST01
S348-25,Pooja Roy,female,21-11-2003,2024-2025,0,2934397,none,0,rural,reservation,INST02
S349-25,Jane Doe,Male,14-05-2001,2024-2025,1,2481246,Secondary,0,urban,Merit,INST02
S350-25,Pooja Banerjee,male,14-05-2001,2024-2025,1,825787,PRIMARY,1,urban,Management,INST01
S351-25,Pooja Mukherjee,female,21-11-2003,2024-2025,1,3384958,secondary,0,urban,management,INST02
S352-25,Pooja Chatterjee,MALE,12-08-2002,2024-2025,1,1220778,SECONDARY,1,URBAN,reservation,INST02
S353-24,Pooja Saxena,FEMALE,14-05-2001,2023-2024,0,1721493,secondary,1,URBAN,MERIT,INST02
S354-25,Pooja Tripathi,female,21-11-2003,2024-2025,0,1091671,NONE,1,rural,reservation,INST02
S355-25,Pooja Tiwari,Male,21-11-2003,2024-2025,1,4043318,primary,1,urban,Management,INST02
S356-24,Pooja Mishra,Male,21-11-2003,2023-2024,0,2481490,Primary,1,Rural,merit,INST01
S357-24,Pooja Pandey,female,14-05-2001,2023-2024,0,1198815,NONE,0,urban,reservation,INST01
S358-25,Pooja Yadav,Male,12-08-2002,2024-2025,1,3912881,secondary,1,RURAL,MANAGEMENT,INST01
S359-24,Pooja Jain,male,21-11-2003,2023-2024,0,1129735,None,0,URBAN,management,INST01
S360-24,Pooja Kohli,FEMALE,21-11-2003,2023-2024,0,4357375,none,0,urban,MERIT,INST02
S361-24,Siddharth Sharma,female,14-05-2001,2023-2024,0,811512,NONE,0,Urban,merit,INST01
S362-24,Siddharth Verma,female,12-08-2002,2023-2024,0,4279496,Primary,1,urban,MANAGEMENT,INST01
S363-24,Siddharth Patel,female,21-11-2003,2023-2024,1,4209206,none,1,RURAL,MANAGEMENT,INST02
S364-24,Siddharth Iyer,female,21-11-2003,2023-2024,1,633923,none,0,URBAN,Management,INST01
S365-24,Siddharth Reddy,FEMALE,12-08-2002,2023-2024,1,3101020,NONE,1,RURAL,reservation,INST02
S366-25,Siddharth Singh,female,12-08-2002,2024-2025,1,4041520,NONE,1,RURAL,MERIT,INST01
S367-24,Siddharth Gupta,Male,14-05-2001,2023-2024,1,4228658,None,1,RURAL,reservation,INST02
S368-24,Siddharth Mehta,male,21-11-2003,2023-2024,1,315067,GRADUATE,0,rural,MANAGEMENT,INST02
S369-25,Siddharth Nair,Female,12-08-2002,2024-2025,1,967562,graduate,0,RURAL,Reservation,INST02
S370-25,Siddharth Khan,MALE,12-08-2002,2024-2025,1,2738404,None,1,Urban,Management,INST01
S371-24,Siddharth Malhotra,male,12-08-2002,2023-2024,0,2668080,SECONDARY,1,RURAL,,INST02
S372-25,Siddharth Bansal,male,14-05-2001,2024-2025,0,4834472,Secondary,1,urban,,INST01
S373-24,Siddharth Chopra,female,14-05-2001,2023-2024,0,2460513,none,1,RURAL,,INST02
S374-25,Siddharth Agarwal,Female,21-11-2003,2024-2025,0,4579408,none,0,RURAL,,INST02
S375-24,Siddharth Kulkarni,FEMALE,14-05-2001,2023-2024,1,4431114,Graduate,0,urban,,INST01
S376-25,Siddharth Joshi,MALE,21-11-2003,2024-2025,1,2050543,Graduate,1,URBAN,,INST02
S377-25,Siddharth Das,male,14-05-2001,2024-2025,0,4669657,none,0,Rural,,INST01
S378-24,Siddharth Roy,Male,14-05-2001,2023-2024,1,988956,graduate,0,rural,,INST02
S379-24,Siddharth Ghosh,male,14-05-2001,2023-2024,0,1260290,Graduate,0,rural,,INST01
S380-25,Siddharth Banerjee,FEMALE,12-08-2002,2024-2025,0,4036449,None,0,rural,,INST01
S381-24,Siddharth Mukherjee,Female,14-05-2001,2023-2024,0,3761143,PRIMARY,0,Rural,reservation,INST01
S382-25,Siddharth Chatterjee,Female,12-08-2002,2024-2025,0,4001800,primary,1,Rural,Reservation,INST01
S383-24,Siddharth Saxena,MALE,12-08-2002,2023-2024,1,3769550,secondary,0,Urban,Management,INST01
S384-25,Siddharth Tripathi,female,21-11-2003,2024-2025,1,1505247,primary,0,Urban,reservation,INST01
S385-25,Siddharth Tiwari,MALE,12-08-2002,2024-2025,1,1713177,SECONDARY,1,urban,Reservation,INST02
S386-25,Siddharth Mishra,MALE,12-08-2002,2024-2025,1,1044153,secondary,1,Urban,management,INST01
S387-25,Siddharth Pandey,FEMALE,14-05-2001,2024-2025,0,1274257,Secondary,0,Urban,reservation,INST02
S388-25,Siddharth Yadav,MALE,21-11-2003,2024-2025,0,2199376,Graduate,0,URBAN,Reservation,INST02
S389-24,Siddharth Jain,MALE,21-11-2003,2023-2024,1,4743932,secondary,1,RURAL,Merit,INST02
S390-25,Jane Doe,female,12-08-2002,2024-2025,1,3074866,secondary,1,Urban,reservation,INST01
S391-24,Neha Sharma,FEMALE,14-05-2001,2023-2024,1,1978210,GRADUATE,1,Urban,reservation,INST01
S392-24,Neha Verma,FEMALE,21-11-2003,2023-2024,1,2982693,Primary,0,rural,Management,INST01
S393-25,Neha Patel,male,12-08-2002,2024-2025,1,1073334,Graduate,0,Rural,Management,INST01
S394-24,Neha Iyer,female,14-05-2001,2023-2024,1,458376,none,1,URBAN,MERIT,INST02
S395-25,Neha Reddy,Female,14-05-2001,2024-2025,1,1342975,primary,1,Urban,MANAGEMENT,INST02
S396-24,Neha Singh,male,21-11-2003,2023-2024,1,3594491,Graduate,0,Rural,MERIT,INST02
S397-24,Neha Gupta,male,14-05-2001,2023-2024,1,4056494,secondary,0,urban,management,INST02
S398-25,Neha Mehta,MALE,14-05-2001,2024-2025,1,2187922,Primary,0,Urban,management,INST02
S399-25,Neha Nair,MALE,12-08-2002,2024-2025,1,2913320,none,1,URBAN,Reservation,INST02
S400-25,Neha Khan,female,14-05-2001,2024-2025,0,3076012,PRIMARY,0,urban,RESERVATION,INST01
S401-25,Neha Malhotra,female,14-05-2001,2024-2025,0,4567957,NONE,0,rural,management,INST02
S402-24,Neha Bansal,Female,12-08-2002,2023-2024,1,2850537,none,1,urban,management,INST02
S403-25,Neha Chopra,female,12-08-2002,2024-2025,1,4020646,primary,0,Rural,reservation,INST02
S404-25,Neha Agarwal,Female,21-11-2003,2024-2025,0,3546884,PRIMARY,0,RURAL,MERIT,INST02
S405-24,Neha Kulkarni,female,12-08-2002,2023-2024,0,3539529,secondary,0,Urban,merit,INST01
S406-24,Neha Joshi,FEMALE,21-11-2003,2023-2024,1,1062404,none,0,Urban,Management,INST01
S407-24,Neha Das,male,12-08-2002,2023-2024,0,904531,SECONDARY,1,rural,MERIT,INST02
S408-25,Neha Roy,male,12-08-2002,2024-2025,0,1205719,primary,1,URBAN,management,INST01
S409-24,Neha Ghosh,MALE,21-11-2003,2023-2024,1,4493028,Graduate,1,Urban,Reservation,INST01
S410-25,Neha Banerjee,male,14-05-2001,2024-2025,0,2690772,None,1,Rural,Reservation,INST02
S411-25,Neha Mukherjee,male,12-08-2002,2024-2025,1,116288,Secondary,1,urban,Reservation,INST01
S412-25,Neha Chatterjee,Female,14-05-2001,2024-2025,0,1842935,none,1,urban,management,INST01
S413-25,Neha Saxena,FEMALE,14-05-2001,2024-2025,0,2228995,GRADUATE,0,rural,reservation,INST01
S414-25,Neha Tripathi,male,14-05-2001,2024-2025,0,2559885,secondary,1,RURAL,reservation,INST01
S415-24,Neha Tiwari,FEMALE,14-05-2001,2023-2024,1,3614208,graduate,1,Rural,Management,INST02
S416-24,Neha Mishra,female,12-08-2002,2023-2024,0,1260863,primary,0,rural,MANAGEMENT,INST02
S417-25,Neha Pandey,Male,14-05-2001,2024-2025,1,387911,GRADUATE,0,urban,management,INST02
S418-24,Neha Yadav,male,21-11-2003,2023-2024,1,1076160,Graduate,1,urban,Management,INST01
S419-25,Neha Jain,Female,21-11-2003,2024-2025,0,799228,Graduate,0,Urban,Reservation,INST01
S420-24,Neha Kohli,male,14-05-2001,2023-2024,1,4595235,NONE,0,URBAN,MERIT,INST02
S421-24,Rahul Sharma,female,12-08-2002,2023-2024,0,4525690,secondary,1,RURAL,merit,INST02
S422-24,Rahul Verma,MALE,14-05-2001,2023-2024,1,1582338,PRIMARY,1,URBAN,MERIT,INST01
S423-25,Rahul Patel,FEMALE,14-05-2001,2024-2025,0,1245045,NONE,0,rural,,INST02
S424-25,Rahul Iyer,FEMALE,21-11-2003,2024-2025,0,4689915,NONE,0,Urban,,INST01
S425-24,Rahul Reddy,male,21-11-2003,2023-2024,1,1244261,NONE,1,rural,,INST02
S426-25,Rahul Singh,male,14-05-2001,2024-2025,0,2997907,none,0,Urban,,INST02
S427-25,Rahul Gupta,FEMALE,21-11-2003,2024-2025,1,2242451,SECONDARY,1,urban,,INST01
S428-24,Rahul Mehta,female,21-11-2003,2023-2024,0,3515862,None,1,Urban,,INST01
S429-24,Rahul Nair,male,12-08-2002,2023-2024,1,3931346,SECONDARY,1,URBAN,,INST02
S430-24,Jane Doe,FEMALE,12-08-2002,2023-2024,1,109856,Primary,0,Urban,,INST01
S431-25,Rahul Malhotra,Male,21-11-2003,2024-2025,1,1659367,GRADUATE,1,urban,,INST02
S432-25,Rahul Bansal,male,21-11-2003,2024-2025,1,3082245,graduate,1,Urban,RESERVATION,INST02
S433-24,Jane Doe,Female,21-11-2003,2023-2024,0,2147019,graduate,1,RURAL,MANAGEMENT,INST02
S434-24,Rahul Agarwal,Male,21-11-2003,2023-2024,1,2848342,none,0,urban,RESERVATION,INST01
S435-24,Rahul Kulkarni,FEMALE,21-11-2003,2023-2024,0,3757080,NONE,1,RURAL,MANAGEMENT,INST01
S436-25,Rahul Joshi,Female,21-11-2003,2024-2025,0,3270554,graduate,0,URBAN,RESERVATION,INST01
S437-24,Rahul Das,Female,21-11-2003,2023-2024,0,4318945,primary,1,Rural,Management,INST01
S438-24,Rahul Roy,FEMALE,21-11-2003,2023-2024,0,3988650,PRIMARY,0,Rural,Reservation,INST02
S439-24,Rahul Ghosh,female,21-11-2003,2023-2024,1,4040671,secondary,1,Urban,RESERVATION,INST01
S440-25,Rahul Banerjee,female,12-08-2002,2024-2025,0,1837935,none,0,URBAN,MANAGEMENT,INST02
S441-24,Rahul Mukherjee,FEMALE,21-11-2003,2023-2024,1,299020,primary,0,URBAN,management,INST01
S442-25,Rahul Chatterjee,male,21-11-2003,2024-2025,1,980875,Primary,1,URBAN,merit,INST02
S443-25,Rahul Saxena,Male,21-11-2003,2024-2025,0,2717171,secondary,0,Rural,reservation,INST01
S444-25,Rahul Tripathi,Female,14-05-2001,2024-2025,1,594194,graduate,1,rural,Management,INST01
S445-24,Rahul Tiwari,female,14-05-2001,2023-2024,1,1891519,Graduate,1,rural,MERIT,INST02
S446-24,Rahul Mishra,female,12-08-2002,2023-2024,1,4948630,graduate,0,RURAL,RESERVATION,INST01
S447-25,Rahul Pandey,Male,21-11-2003,2024-2025,0,4259109,none,1,urban,Reservation,INST02
S448-24,Rahul Yadav,FEMALE,14-05-2001,2023-2024,1,1206496,secondary,1,urban,merit,INST01
S449-25,Rahul Jain,female,14-05-2001,2024-2025,0,2010612,secondary,1,Urban,merit,INST01
S450-25,Rahul Kohli,female,21-11-2003,2024-2025,1,131211,secondary,0,URBAN,Management,INST02
S451-25,Sneha Sharma,male,12-08-2002,2024-2025,1,1762992,graduate,0,urban,reservation,INST01
S452-24,Sneha Verma,MALE,21-11-2003,2023-2024,0,3287114,GRADUATE,0,Urban,MANAGEMENT,INST01
S453-24,Sneha Patel,Male,21-11-2003,2023-2024,0,4550094,Primary,1,Urban,RESERVATION,INST02
S454-25,Sneha Iyer,Male,21-11-2003,2024-2025,0,1742005,Secondary,1,Rural,Management,INST02
S455-25,Sneha Reddy,male,14-05-2001,2024-2025,1,3330703,Graduate,0,rural,MERIT,INST02
S456-24,Sneha Singh,female,21-11-2003,2023-2024,0,1872465,None,1,RURAL,merit,INST01
S457-25,Sneha Gupta,female,12-08-2002,2024-2025,1,3247364,none,1,rural,RESERVATION,INST02
S458-24,Sneha Mehta,MALE,14-05-2001,2023-2024,0,3999253,PRIMARY,1,URBAN,merit,INST02
S459-24,Sneha Nair,male,21-11-2003,2023-2024,0,1867580,graduate,0,Urban,merit,INST01
S460-24,Jane Doe,male,21-11-2003,2023-2024,0,3587331,primary,0,URBAN,RESERVATION,INST02
S461-25,Sneha Malhotra,male,14-05-2001,2024-2025,0,4764851,PRIMARY,1,RURAL,management,INST01
S462-25,Sneha Bansal,female,21-11-2003,2024-2025,0,1896300,graduate,0,URBAN,Merit,INST02
S463-24,Sneha Chopra,Female,12-08-2002,2023-2024,1,2835408,none,1,Urban,MERIT,INST01
S464-25,Sneha Agarwal,male,14-05-2001,2024-2025,1,2033036,SECONDARY,1,urban,Reservation,INST02
S465-24,Sneha Kulkarni,Male,21-11-2003,2023-2024,1,2383093,NONE,1,RURAL,RESERVATION,INST01
S466-24,Sneha Joshi,male,12-08-2002,2023-2024,1,3250135,none,0,URBAN,Merit,INST01
S467-24,Sneha Das,Female,14-05-2001,2023-2024,1,4306585,primary,1,URBAN,MANAGEMENT,INST02
S468-25,Sneha Roy,Female,14-05-2001,2024-2025,0,3218523,GRADUATE,1,Rural,management,INST01
S469-25,Sneha Ghosh,FEMALE,14-05-2001,2024-2025,1,3241447,None,0,urban,reservation,INST02
S470-25,Sneha Banerjee,female,21-11-2003,2024-2025,0,3360561,Graduate,0,rural,Management,INST02
S471-25,Sneha Mukherjee,Female,14-05-2001,2024-2025,1,3138522,none,0,URBAN,management,INST01
S472-24,Sneha Chatterjee,Male,14-05-2001,2023-2024,0,153493,primary,1,rural,reservation,INST02
S473-25,Sneha Saxena,female,12-08-2002,2024-2025,1,795524,SECONDARY,0,RURAL,merit,INST02
S474-25,Sneha Tripathi,FEMALE,21-11-2003,2024-2025,0,3665067,GRADUATE,0,rural,MERIT,INST01
S475-24,Sneha Tiwari,Female,12-08-2002,2023-2024,0,2225601,NONE,1,URBAN,,INST01
S476-25,Sneha Mishra,MALE,12-08-2002,2024-2025,0,4120105,NONE,0,Rural,,INST02
S477-25,Sneha Pandey,Female,14-05-2001,2024-2025,1,2873187,graduate,1,rural,,INST01
S478-24,Sneha Yadav,Female,21-11-2003,2023-2024,1,1080914,Graduate,1,rural,,INST01
S479-25,Sneha Jain,female,12-08-2002,2024-2025,1,433814,None,1,urban,,INST01
S480-24,Sneha Kohli,Female,21-11-2003,2023-2024,1,4226898,Primary,1,URBAN,,INST01
S481-24,Vikram Sharma,MALE,21-11-2003,2023-2024,1,3698150,graduate,1,Rural,,INST02
S482-24,Vikram Verma,male,14-05-2001,2023-2024,1,2841738,graduate,0,RURAL,,INST01
S483-24,Vikram Patel,female,14-05-2001,2023-2024,1,4855321,none,1,rural,,INST01
S484-24,Vikram Iyer,Female,12-08-2002,2023-2024,0,3366120,graduate,1,Urban,,INST02
S485-25,Vikram Reddy,MALE,21-11-2003,2024-2025,1,4264252,Primary,1,urban,RESERVATION,INST01
S486-24,Vikram Singh,FEMALE,12-08-2002,2023-2024,0,1551730,none,1,rural,reservation,INST01
S487-25,Vikram Gupta,Male,14-05-2001,2024-2025,0,866375,primary,0,URBAN,RESERVATION,INST01
S488-25,Vikram Mehta,Male,12-08-2002,2024-2025,0,4879171,NONE,1,urban,reservation,INST01
S489-25,Vikram Nair,male,12-08-2002,2024-2025,0,2105217,Graduate,0,Rural,management,INST01
S490-24,Vikram Khan,Female,21-11-2003,2023-2024,0,1028343,GRADUATE,0,Urban,reservation,INST01
S491-25,Vikram Malhotra,Male,12-08-2002,2024-2025,1,582662,none,0,Urban,Merit,INST01
S492-25,Vikram Bansal,Male,12-08-2002,2024-2025,1,2686506,NONE,0,rural,Management,INST01
S493-25,Vikram Chopra,female,21-11-2003,2024-2025,1,437270,Secondary,1,Urban,MERIT,INST01
S494-24,Vikram Agarwal,Male,21-11-2003,2023-2024,1,2564143,SECONDARY,1,urban,reservation,INST01
S495-25,Vikram Kulkarni,male,12-08-2002,2024-2025,1,3618038,primary,0,rural,Management,INST01
S496-24,Vikram Joshi,male,14-05-2001,2023-2024,0,2315974,Secondary,0,URBAN,Merit,INST02
S497-24,Vikram Das,Female,12-08-2002,2023-2024,1,1086022,Secondary,0,Urban,Merit,INST02
S498-25,Vikram Roy,male,12-08-2002,2024-2025,1,1120153,None,1,urban,MANAGEMENT,INST02
S499-25,Vikram Ghosh,Female,14-05-2001,2024-2025,0,4263004,secondary,1,Rural,RESERVATION,INST01
S500-24,Vikram Banerjee,male,12-08-2002,2023-2024,0,1435069,Graduate,0,Rural,Reservation,INST02
S501-24,Vikram Mukherjee,Male,14-05-2001,2023-2024,1,1645379,Primary,0,Rural,reservation,INST02
S502-24,Vikram Chatterjee,male,12-08-2002,2023-2024,0,4359097,secondary,0,RURAL,MANAGEMENT,INST01
S503-25,Vikram Saxena,Male,21-11-2003,2024-2025,1,1874213,None,1,rural,RESERVATION,INST02
S504-24,Vikram Tripathi,MALE,14-05-2001,2023-2024,0,900082,GRADUATE,1,URBAN,RESERVATION,INST02
S505-25,Vikram Tiwari,female,12-08-2002,2024-2025,0,3189935,graduate,0,rural,RESERVATION,INST01
S506-25,Vikram Mishra,Female,12-08-2002,2024-2025,0,387694,Graduate,0,rural,reservation,INST02
S507-25,Vikram Pandey,male,14-05-2001,2024-2025,0,1152411,PRIMARY,1,Rural,management,INST01
S508-25,Vikram Yadav,MALE,21-11-2003,2024-2025,0,2128254,secondary,1,Urban,merit,INST01
S509-24,Vikram Jain,male,12-08-2002,2023-2024,0,1297604,GRADUATE,0,urban,Reservation,INST01
S510-24,Vikram Kohli,Male,14-05-2001,2023-2024,0,2870064,Secondary,1,urban,MERIT,INST02
S511-24,Priya Sharma,male,12-08-2002,2023-2024,1,2443412,secondary,0,Urban,management,INST02
S512-24,Priya Verma,FEMALE,14-05-2001,2023-2024,0,2364810,NONE,0,Urban,Merit,INST02
S513-25,Priya Patel,MALE,14-05-2001,2024-2025,1,1744491,Secondary,1,Rural,MANAGEMENT,INST02
S514-24,Priya Iyer,MALE,14-05-2001,2023-2024,0,1450353,primary,0,urban,reservation,INST02
S515-24,Priya Reddy,male,12-08-2002,2023-2024,1,1594060,secondary,1,URBAN,merit,INST01
S516-25,Priya Singh,male,14-05-2001,2024-2025,0,1165444,NONE,1,Rural,RESERVATION,INST01
S517-25,Priya Gupta,male,12-08-2002,2024-2025,0,2523761,SECONDARY,0,Urban,RESERVATION,INST01
S518-25,Jane Doe,Male,12-08-2002,2024-2025,1,1900854,Primary,1,RURAL,MANAGEMENT,INST01
